hue_a	hue_b	value	chroma	nice_name	munsell_name	sortable_name	n_r	n_g	n_b	s_r	s_g	s_b	hexval
7.5	R	7	4	Pale Red	7.5R 7/4	07.5R7/4	0.8157	0.6392	0.6078	208	163	155	D0A39B
7.5	R	7	6	Light Red	7.5R 7/6	07.5R7/6	0.8784	0.6157	0.5686	224	157	145	E09D91
7.5	R	7	8	Light Red	7.5R 7/8	07.5R7/8	0.9412	0.5882	0.5216	240	150	133	F09685
7.5	R	8	1	White	7.5R 8/1	07.5R8/1	0.8118	0.7765	0.7686	207	198	196	CFC6C4
7.5	R	8	2	Light Pink	7.5R 8/2	07.5R8/2	0.8392	0.7686	0.7529	214	196	192	D6C4C0
7.5	R	8	3	Light Pink	7.5R 8/3	07.5R8/3	0.8824	0.7569	0.7294	225	193	186	E1C1BA
7.5	R	8	4	Light Pink	7.5R 8/4	07.5R8/4	0.9255	0.7412	0.7059	236	189	180	ECBDB4
7.5	YR	2.5	1	Black	7.5YR 2.5/1	07.5YR2.5/1	0.2667	0.2275	0.2039	68	58	52	443A34
7.5	YR	2.5	2	Very Dark Brown	7.5YR 2.5/2	07.5YR2.5/2	0.2902	0.2196	0.1725	74	56	44	4A382C
7.5	YR	2.5	3	Very Dark Brown	7.5YR 2.5/3	07.5YR2.5/3	0.3098	0.2157	0.1412	79	55	36	4F3724
7.5	YR	3	1	Very Dark Gray	7.5YR 3/1	07.5YR3/1	0.3137	0.2745	0.2471	80	70	63	50463F
7.5	YR	3	2	Dark Brown	7.5YR 3/2	07.5YR3/2	0.3412	0.2667	0.2157	87	68	55	574437
7.5	YR	3	3	Dark Brown	7.5YR 3/3	07.5YR3/3	0.3608	0.2588	0.1843	92	66	47	5C422F
7.5	YR	3	4	Dark Brown	7.5YR 3/4	07.5YR3/4	0.3765	0.2549	0.149	96	65	38	604126
7.5	YR	4	1	Dark Gray	7.5YR 4/1	07.5YR4/1	0.4118	0.3686	0.3412	105	94	87	6.95E+59
7.5	YR	4	2	Brown	7.5YR 4/2	07.5YR4/2	0.4392	0.3608	0.302	112	92	77	705C4D
7.5	YR	4	3	Brown	7.5YR 4/3	07.5YR4/3	0.4667	0.3529	0.2667	119	90	68	775A44
7.5	YR	4	4	Brown	7.5YR 4/4	07.5YR4/4	0.4863	0.349	0.2275	124	89	58	7C593A
7.5	YR	4	6	String Brown	7.5YR 4/6	07.5YR4/6	0.5176	0.3373	0.1569	132	86	40	845628
7.5	YR	5	1	Gray	7.5YR 5/1	07.5YR5/1	0.5098	0.4706	0.4392	130	120	112	827870
7.5	YR	5	2	Brown	7.5YR 5/2	07.5YR5/2	0.5373	0.4627	0.4039	137	118	103	897667
7.5	YR	5	3	Brown	7.5YR 5/3	07.5YR5/3	0.5647	0.4549	0.3686	144	116	94	90745E
7.5	YR	5	4	Brown	7.5YR 5/4	07.5YR5/4	0.5882	0.451	0.3294	150	115	84	967354
7.5	YR	5	6	Strong Brown	7.5YR 5/6	07.5YR5/6	0.6314	0.4353	0.2471	161	111	63	A16F3F
7.5	YR	5	8	Strong Brown	7.5YR 5/8	07.5YR5/8	0.6627	0.4235	0.1529	169	108	39	A96C27
7.5	YR	6	1	Gray	7.5YR 6/1	07.5YR6/1	0.6118	0.5725	0.5412	156	146	138	9C928A
7.5	YR	6	2	Pinkish Gray	7.5YR 6/2	07.5YR6/2	0.6431	0.5647	0.502	164	144	128	A49080
7.5	YR	6	3	Light Brown	7.5YR 6/3	07.5YR6/3	0.6667	0.5569	0.4627	170	142	118	AA8E76
7.5	YR	6	4	Light Brown	7.5YR 6/4	07.5YR6/4	0.6941	0.5529	0.4275	177	141	109	B18D6D
7.5	YR	6	6	Reddish Yellow	7.5YR 6/6	07.5YR6/6	0.7373	0.5373	0.3451	188	137	88	BC8958
7.5	YR	6	8	Reddish Yellow	7.5YR 6/8	07.5YR6/8	0.7725	0.5255	0.2549	197	134	65	C58641
7.5	YR	7	1	Light Gray	7.5YR 7/1	07.5YR7/1	0.7137	0.6745	0.6392	182	172	163	B6ACA3
7.5	YR	7	2	Pinkish Gray	7.5YR 7/2	07.5YR7/2	0.7451	0.6667	0.6	190	170	153	BEAA99
7.5	YR	7	3	Pink	7.5YR 7/3	07.5YR7/3	0.7725	0.6588	0.5608	197	168	143	C5A88F
7.5	YR	7	4	Pink	7.5YR 7/4	07.5YR7/4	0.7961	0.6549	0.5216	203	167	133	CBA785
7.5	YR	7	6	Reddish Yellow	7.5YR 7/6	07.5YR7/6	0.8431	0.6431	0.4392	215	164	112	D7A470
7.5	YR	7	8	Reddish Yellow	7.5YR 7/8	07.5YR7/8	0.8824	0.6314	0.3529	225	161	90	E1A15A
7.5	YR	8.5	1	White	7.5YR 8.5/1	07.5YR8.5/1	0.8706	0.8314	0.7922	222	212	202	DED4CA
7.5	YR	8.5	2	Pinkish White	7.5YR 8.5/2	07.5YR8.5/2	0.902	0.8235	0.749	230	210	191	E6D2BF
7.5	YR	8	1	White	7.5YR 8/1	07.5YR8/1	0.8157	0.7765	0.7412	208	198	189	D0C6BD
7.5	YR	8	2	Pinkish White	7.5YR 8/2	07.5YR8/2	0.8471	0.7725	0.702	216	197	179	D8C5B3
